t(ticks) ; nlug ; id_viat ; observ
7614921  ; 1    ; 13159   ; cheio
7619750  ; 1    ; 13160   ; cheio
7619767  ; 1    ; 13175   ; cheio
7610667  ; 1    ; 13141   ; cheio
7624747  ; 0    ; 13157   ; saiu
7627347  ; 1    ; 13139   ; entrou
7628994  ; 0    ; 13139   ; saiu
7633160  ; 1    ; 13145   ; entrou
7634009  ; 0    ; 13145   ; saiu
7638134  ; 1    ; 13179   ; entrou
7639978  ; 1    ; 13178   ; cheio
7643448  ; 0    ; 13179   ; saiu
7649065  ; 1    ; 13182   ; entrou
7649973  ; 0    ; 13182   ; saiu
7650705  ; 1    ; 13186   ; entrou
7651294  ; 0    ; 13186   ; saiu
7651474  ; 1    ; 13180   ; entrou
7651643  ; 0    ; 13180   ; saiu
7658219  ; 1    ; 13190   ; entrou
7658889  ; 0    ; 13190   ; saiu
7666282  ; 1    ; 13192   ; entrou
7666488  ; 1    ; 13191   ; cheio
7668068  ; 1    ; 13189   ; entrou
7668502  ; 1    ; 13192   ; saiu
7670977  ; 0    ; 13189   ; saiu
7673309  ; 1    ; 13193   ; entrou
7676194  ; 0    ; 13193   ; saiu
7676504  ; 1    ; 13198   ; entrou
7676571  ; 1    ; 13200   ; cheio
7676701  ; 0    ; 13198   ; saiu
7677155  ; 1    ; 13204   ; entrou
7677286  ; 1    ; 13199   ; cheio
7677455  ; 1    ; 13202   ; cheio
7678274  ; 0    ; 13204   ; saiu
7678530  ; 1    ; 13203   ; entrou
7678843  ; 1    ; 13206   ; cheio
7680465  ; 0    ; 13203   ; saiu
7684106  ; 1    ; 13195   ; entrou
7684877  ; 0    ; 13195   ; saiu
7688922  ; 1    ; 13212   ; entrou
7689554  ; 1    ; 13205   ; entrou
7689997  ; 1    ; 13212   ; saiu
7690559  ; 0    ; 13205   ; saiu
7693586  ; 1    ; 13217   ; entrou
7696878  ; 1    ; 13207   ; cheio
7697210  ; 1    ; 13197   ; cheio
7696970  ; 1    ; 13201   ; cheio
7697289  ; 1    ; 13218   ; entrou
7697335  ; 1    ; 13217   ; saiu
7698530  ; 0    ; 13218   ; saiu
7698733  ; 1    ; 13216   ; entrou
7699716  ; 0    ; 13216   ; saiu
7699810  ; 1    ; 13214   ; entrou
7699940  ; 1    ; 13220   ; cheio
7699879  ; 1    ; 13211   ; cheio
7700808  ; 1    ; 13210   ; entrou
7700839  ; 1    ; 13214   ; saiu
7701280  ; 0    ; 13210   ; saiu
7704657  ; 1    ; 13219   ; entrou
7706108  ; 0    ; 13219   ; saiu
7705501  ; 1    ; 13208   ; entrou
7707725  ; 0    ; 13208   ; saiu
7723598  ; 1    ; 13215   ; entrou
7725748  ; 0    ; 13215   ; saiu
7726800  ; 1    ; 13225   ; entrou
7728458  ; 1    ; 13234   ; cheio
7729012  ; 1    ; 13231   ; cheio
7729228  ; 1    ; 13221   ; cheio
7729722  ; 1    ; 13227   ; cheio
7730740  ; 0    ; 13225   ; saiu
7730901  ; 1    ; 13222   ; entrou
7731020  ; 0    ; 13222   ; saiu
